levelName,p,cost,tpte,tpt,inctb,tbdxc,tbdxb,prevtb,att,lives,incdeaths,deaths,check,TPT.screened,TPT.asymptomatic,TPT.eligible,TPT.treated,TB.symptoms,TB.evaluated,TB.diagnosed,TB.treated
     ¦   ¦   ¦   ¦   ¦   ¦       °--clinical assessment + with/without CXR      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦--TB diagnosed (clinical)                 ,soc.frac.bac.clin.dx*(1-soc.frac.bac.reass ),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦   °--TB outcomes                         ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦--TB tx                           ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦--dies                        ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   °--survives                    ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       °--no TB tx                        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦--dies                        ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           °--survives                    ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦--no TB diagnosed                         ,soc.frac.bac.noclin.dx*(1-soc.frac.bac.reass ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦   °--TPT outcomes                        ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦--Eligible for TPT                ,soc.frac.eligible.tpt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦--TPT                         ,(1-soc.frac.pre.tpt.ltfu),c.soc.tpt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦--TB disease <1yr         ,p.tbdx.1yr*tptRR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦       ¦--TB tx           ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦   °--no TB disease <1yr      ,1-p.tbdx.1yr*tptRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦       °--no TB outcomes      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦           ¦--dies            ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   ¦           °--survives        ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦   °--no TPT                      ,soc.frac.pre.tpt.ltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦--TB disease <1yr         ,p.tbdx.1yr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦       ¦--TB tx           ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦       °--no TB disease <1yr      ,1-p.tbdx.1yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦           °--no TB outcomes      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦               ¦--dies            ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       ¦               °--survives        ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦       °--Not eligible for TPT            ,1-soc.frac.eligible.tpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦--TB disease <1yr             ,p.tbdx.1yr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦   °--TB outcomes             ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦       ¦--TB tx               ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦       ¦   ¦--dies            ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦       ¦   °--survives        ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦       °--no TB tx            ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦           ¦--dies            ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           ¦           °--survives        ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦           °--no TB disease <1yr          ,1-p.tbdx.1yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦               °--no TB outcomes          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦                   ¦--dies                ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           ¦                   °--survives            ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦           °--Invited for reassessment                ,soc.frac.bac.reass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦--TB diagnosed (clinical)             ,soc.frac.bac.clin.dx,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦   °--TB outcomes                     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦--TB tx                       ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦--dies                    ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   °--survives                ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       °--no TB tx                    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦--dies                    ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           °--survives                ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦--no TB diagnosed                     ,soc.frac.bac.noclin.dx*(1-soc.frac.bac.clin.dx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦   °--TPT outcomes                    ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦--Eligible for TPT            ,soc.frac.eligible.tpt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦--TPT                     ,(1-soc.frac.pre.tpt.ltfu),c.soc.tpt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦--TB disease <1yr     ,p.tbdx.1yr*tptRR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦   °--TB outcomes     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦       ¦--TB tx       ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦       ¦   ¦--dies    ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦       ¦   °--survives,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦       °--no TB tx    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦           ¦--dies    ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   ¦           °--survives,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦   °--no TB disease <1yr  ,1-p.tbdx.1yr*tptRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦       °--no TB outcomes  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦           ¦--dies        ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   ¦           °--survives    ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦   °--no TPT                  ,soc.frac.pre.tpt.ltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦--TB disease <1yr     ,p.tbdx.1yr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦   °--TB outcomes     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦       ¦--TB tx       ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦       ¦   ¦--dies    ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦       ¦   °--survives,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦       °--no TB tx    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦           ¦--dies    ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       ¦           °--survives,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦       °--no TB disease <1yr  ,1-p.tbdx.1yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦           °--no TB outcomes  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦               ¦--dies        ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       ¦               °--survives    ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦       °--Not eligible for TPT        ,1-soc.frac.eligible.tpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦--TB disease <1yr         ,p.tbdx.1yr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦       ¦--TB tx           ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦           °--no TB disease <1yr      ,1-p.tbdx.1yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦               °--no TB outcomes      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦                   ¦--dies            ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               ¦                   °--survives        ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   ¦               °--Not reassessed at 7 days            ,(1-soc.frac.bac.clin.dx)*(1-soc.frac.bac.noclin.dx),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦   °--clinical assessment only + with/without CXR         ,1-soc.frac.bac.assess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦--TB diagnosed (clinical)                         ,soc.frac.clin.dx*(1-soc.frac.clin.reass),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦       ¦   °--TB outcomes                                 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦--TB tx                                   ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦--dies                                ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   °--survives                            ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       °--no TB tx                                ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦           ¦--dies                                ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦           °--survives                            ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦--no TB diagnosed                                 ,soc.frac.noclin.dx*(1-soc.frac.clin.reass),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦   °--TPT outcomes                                ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦--Eligible for TPT                        ,soc.frac.eligible.tpt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦--TPT                                 ,(1-soc.frac.pre.tpt.ltfu),c.soc.tpt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦--TB disease <1yr                 ,p.tbdx.1yr*tptRR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦   °--TB outcomes                 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦       ¦--TB tx                   ,1-p.ptltfu,c.soc.att,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦       ¦   ¦--dies                ,p.cfr.tx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦       ¦   °--survives            ,1-p.cfr.tx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦       °--no TB tx                ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦           ¦--dies                ,p.cfr.notx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   ¦           °--survives            ,1-p.cfr.notx,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦   °--no TB disease <1yr              ,1-p.tbdx.1yr*tptRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦       °--no TB outcomes              ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦           ¦--dies                    ,p.cfr.notb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   ¦           °--survives                ,1-p.cfr.notb,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
     ¦   ¦   ¦   ¦   ¦       ¦       ¦   °--no TPT                              ,soc.frac.pre.tpt.ltfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
