levelName,p,cost,tpte,tpt,inctb,prevtb,att,lives,incdeaths,deaths,check,TPT.screened,TPT.asymptomatic,TPT.eligible,TPT.treated,TB.symptoms,TB.evaluated,TB.diagnosed,TB.treated
     ¦   ¦           ¦   ¦   ¦       ¦   ¦--dies    ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦           ¦   ¦   ¦       ¦   °--survives,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦           ¦   ¦   ¦       °--no TB tx    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦   ¦           ¦--dies    ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦           ¦   ¦   ¦           °--survives,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦           ¦   ¦   °--no TB disease <1yr  ,1-p.tbdx.<1yr*tptRR,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦       °--no TB outcomes  ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦   ¦           ¦--dies        ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦           ¦   ¦           °--survives    ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦           ¦   °--no TPT                  ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦       ¦--TB disease <1yr     ,p.tbdx.<1yr,0,0,0,1,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦       ¦   °--TB outcomes     ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦       ¦       ¦--TB tx       ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
     ¦   ¦           ¦       ¦       ¦   ¦--dies    ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦           ¦       ¦       ¦   °--survives,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦           ¦       ¦       °--no TB tx    ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦       ¦           ¦--dies    ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦           ¦       ¦           °--survives,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦           ¦       °--no TB disease <1yr  ,1-p.tbdx.<1yr,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦           °--no TB outcomes  ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦           ¦               ¦--dies        ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦           ¦               °--survives    ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦           °--Not eligible for TPT        ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦               ¦--TB disease <1yr         ,p.tbdx.<1yr,0,0,0,1,0,0,0,0,0,0,,,,,,,,
     ¦   ¦               ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦               ¦       ¦--TB tx           ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
     ¦   ¦               ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦               ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦               ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦               ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦               ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   ¦               °--no TB disease <1yr      ,1-p.tbdx.<1yr,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦                   °--no TB outcomes      ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦   ¦                       ¦--dies            ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦   ¦                       °--survives        ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦   °--Aymptomatic child contact               ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦       °--TPT outcomes                        ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦--Eligible for TPT                ,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦--TPT                         ,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦   ¦--TB disease <1yr         ,p.tbdx.<1yr*tptRR,0,0,0,1,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦   ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦   ¦       ¦--TB tx           ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
     ¦           ¦   ¦   ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦           ¦   ¦   ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦           ¦   ¦   ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦   ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦           ¦   ¦   ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦           ¦   ¦   °--no TB disease <1yr      ,1-p.tbdx.<1yr*tptRR,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦       °--no TB outcomes      ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦   ¦           ¦--dies            ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦           ¦   ¦           °--survives        ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦           ¦   °--no TPT                      ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦       ¦--TB disease <1yr         ,p.tbdx.<1yr,0,0,0,1,0,0,0,0,0,0,,,,,,,,
     ¦           ¦       ¦   °--TB outcomes         ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦       ¦       ¦--TB tx           ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
     ¦           ¦       ¦       ¦   ¦--dies        ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦           ¦       ¦       ¦   °--survives    ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦           ¦       ¦       °--no TB tx        ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦       ¦           ¦--dies        ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦           ¦       ¦           °--survives    ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦           ¦       °--no TB disease <1yr      ,1-p.tbdx.<1yr,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦           °--no TB outcomes      ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦           ¦               ¦--dies            ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦           ¦               °--survives        ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦           °--Not eligible for TPT            ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦               ¦--TB disease <1yr             ,p.tbdx.<1yr,0,0,0,1,0,0,0,0,0,0,,,,,,,,
     ¦               ¦   °--TB outcomes             ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦               ¦       ¦--TB tx               ,1-p.ptltfu,0,0,0,0,0,1,0,0,0,0,,,,,,,,
     ¦               ¦       ¦   ¦--dies            ,p.cfr.tx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦               ¦       ¦   °--survives        ,1-p.cfr.tx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦               ¦       °--no TB tx            ,p.ptltfu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦               ¦           ¦--dies            ,p.cfr.notx,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦               ¦           °--survives        ,1-p.cfr.notx,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     ¦               °--no TB disease <1yr          ,1-p.tbdx.<1yr,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦                   °--no TB outcomes          ,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
     ¦                       ¦--dies                ,p.cfr.notb,0,0,0,0,0,0,0,1,1,1,,,,,,,,
     ¦                       °--survives            ,1-p.cfr.notb,0,0,0,0,0,0,1,0,0,1,,,,,,,,
     °--Child contact not screened                  ,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,
